,,,,,,,,,,,,,,,,,,,,
,,Final Perfumes Prices and Category List,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Sr. #,Perfume Oil,Brand,Supplier,Category,Season,Time,Notes Details,,,Price of 100 Gram Oil,"Attar Price 
(1 Tola)","Box Price 
(1 Tola)","Bottle Price
(1 Tola)",PrintingCost,Flyer Cost,Delivery Charges,"Total Cost 
(1 Tola)",Selling Price
,,,,,,,,,Top Note,Heart Note,Base Notes,,,,,,,,,
,,63,TUXEDO BY YVES SAINT LAURENT,YVES SAINT LAURENT,Sensula,Unisex,"Spring, Winter &  Autumn",Evening / Night,"Violet Leaf, Coriander, and Bergamot","Rose, Black Pepper, and Lily-of-the-Valley","Patchouli, Bourbon Vanilla, and Ambergris",2880,345.6,150,120,2,10,250,877.6,1377.6
,,64,KUMAAR BY J.,J.,Farhan,Men,Spring & Summer,Day Time,Bergamot and Citruses,"Lavender, Pepper, and Green Notes","Vanilla, Amber, and Woody Notes",2850,342,150,120,2,10,250,874,1374
,,65,BLUE OUD BY ARABIAN OUD,ARABIAN OUD,Farhan,Unisex,"Spring, Winter &  Autumn",Evening / Night,"Blue Musk, Bergamot","Indian Oud, Guaiac Wood","Black Musk, Amber",2800,336,150,120,2,10,250,868,1368
,,66,BURBERRY HERO BY BURBERRY,BURBERRY,Farhan,Men,All Seasons,DAY & NIGHT,Bergamot,Juniper and Black Pepper,"Atlas, Himalayan, and Virginian Cedar",2800,336,150,120,2,10,250,868,1368
,,67,CHANEL RED,CHANEL,Hussaini,,,,,,,2800,336,150,120,2,10,250,868,1368
,,68,CIGAR VIP,,Hussaini,Men,Winter & Autumn,Evening / Night,Bergamot and Sage,Saffron and Cinnamon,Tobacco and Sandalwood,2800,336,150,120,2,10,250,868,1368
,,69,JANAN SPORTS BY J.,J.,Farhan,Men,Spring & Summer,Day Time,"Marine Notes, Pineapple, Pink Pepper, Bergamot, and Lemon","Lily of the Valley, Jasmine, and Rose Geranium","Ambergris, Musk, Patchouli, Cedarwood, and Tonka Bean",2800,336,150,120,2,10,250,868,1368
,,70,XPOSE BY J.,J.,Hussaini,Unisex,All Seasons,DAY & NIGHT,"Mandarin, Lemon, Bergamot, and Red Orange","Saffron, Lavender, and Sage","Ambergris (Grey Amber), Oakmoss, and Oakwood",2800,336,150,120,2,10,250,868,1368
,,71,LIGHT BLUE BY DOLCE & GABBANA (D&G),D&G,Farhan,Women,Summer,Day Time,"Sicilian Lemon, Apple, Cedar, and Bellflower","Bamboo, Jasmine, and White Rose","Cedar, Musk, and Amber",2800,336,150,120,2,10,250,868,1368
,,72,MY WAY BY GIORGIO ARMANI,GIORGIO ARMANI,Hussaini,Women,Spring & Summer,Day Time,Orange Blossom (Egypt) and Bergamot (Calabria),Tuberose and Indian Jasmine,"Madagascar Vanilla, White Musk, and Virginian Cedar",2800,336,150,120,2,10,250,868,1368
,,73,OUD FOR GREATNESS BY INITIO, INITIO,Farhan,Unisex,Winter & Autumn,Evening / Night,"Saffron, Nutmeg, and Lavender",Natural Agarwood (Oud),Patchouli and Musk,2800,336,150,120,2,10,250,868,1368
,,74,ROYAL BY RASASI,RASASI,Hussaini,Men,Spring & Summer,Day Time,Lavender and Geranium,Cedarwood and Cinnamon,"Patchouli, Oakmoss, Musk, and Amber",2800,336,150,120,2,10,250,868,1368
,,75,SHEIKHA,,Hussaini,Unisex,All Seasons,Day Time,"Sandalwood, Musk, Amber, Geranium, and Lily of the Valley","Cedar, Oud (Agarwood), Rose, and Fruity Accords",Pine and Resinous Notes,2800,336,150,120,2,10,250,868,1368
,,76,JIMMY CHOO MEN ICE BY JIMMY CHOO,JIMMY CHOO,TRS Chem,Men,Summer (Peak),Day Time,"Citron (Cedrat), Bergamot, and Mandarin Orange","Apple, Vetiver, Cedar, and Patchouli","Musk, Ambroxan, and Moss",2750,330,150,120,2,10,250,862,1362
,,77,ESCAPE BY CALVIN KLEIN ,CALVIN KLEIN,TRS Chem,Women,Spring & Summer,Day Time,"Melon, Chamomile, Marigold, Apricot, Hyacinth, Oakmoss, Apple, and Coriander","Peach, Rose, Jasmine, and Clove","Oakmoss, Musk, Amber, and Sandalwood",2700,324,150,120,2,10,250,856,1356
,,78,J.P.G,J.P.G,Hussaini,,,,,,,2700,324,150,120,2,10,250,856,1356
,,79,OUD WOOD BY TOM FORD,TOM FORD,TRS Chem,Unisex,Winter & Autumn,Day Time,"Rosewood, Cardamom, and Chinese Pepper","Oud (Agarwood), Sandalwood, and Vetiver","Tonka Bean, Vanilla, and Amber",2700,324,150,120,2,10,250,856,1356
,,80,TOBACCO OUD BY TOM FORD ,TOM FORD,Hussaini,Unisex,Winter & Autumn,Evening / Night,Whiskey,"Spicy Notes, Cinnamon, and Coriander","Tobacco, Agarwood (Oud), Incense, Sandalwood, Patchouli, Benzoin, Vanilla, and Cedar",2700,324,150,120,2,10,250,856,1356
,,81,ONE MAN SHOW BY JACQUES BOGART, JACQUES BOGART,TRS Chem,Men,Winter & Autumn,Evening / Night,"Basil, Bergamot, Artemisia, Caraway, Galbanum, and Brazilian Rosewood","Pine Tree Needles, Spices, Carnation, Patchouli, Vetiver, and Rose","Leather, Oakmoss, Castoreum, Cedar, Amber, and Sandalwood",2680,321.6,150,120,2,10,250,853.6,1353.6
,,82,POLO BLUE BY RALPH LAUREN, RALPH LAUREN,TRS Chem,Men,All Seasons,Day Time,"Bergamot, Cardamom, and Sea Notes","Blue Orris, Basil, Verbena, and Clary Sage","Suede, Vetiver, Patchouli, and Woodsy Notes",2680,321.6,150,120,2,10,250,853.6,1353.6
,,83,1881 BY CURRAITI,CURRAITI,Hussaini,Men,Spring & Summer,Day Time,"Juniper Berries, Lavender, Rosemary, Bergamot, Galbanum","Rose, Lily-of-the-Valley, Cassia, Ylang-Ylang","Pine Tree, cedar, Sandalwood, Musk, Oakmoss",2600,312,150,120,2,10,250,844,1344
,,84,ANGEL SHARE BY KILLIAN ,,Farhan,Unisex,Winter & Autumn,Evening / Night,"Cognac: A massive, realistic blast of boozy sweetness right at the start","Cinnamon, Tonka , Oak","Vanilla, Praline, Sandalwood",2600,312,150,120,2,10,250,844,1344
,,85,BLUE FOR MEN BY RASASI ,RASASI ,TRS Chem,Men,Spring & Summer,DAY & NIGHT,"Mint, Mandarin Orange, Pepper, Coriander","Jasmine, Rose, Geranium (Floral but kept very ""clean"")","Amber, Woody Notes",2600,312,150,120,2,10,250,844,1344
,,86,BOSS BOTTLED NIGHT BY HUGO BOSS,HUGO BOSS,Farhan,Men,Spring & Autumn,Evening / Night,"Lavender, Birch Leaves","African Violet, Jasmine, Cardamom","Lauro Amarelo Wood, Sandalwood, Musk",2600,312,150,120,2,10,250,844,1344
,,87,CLUB DE NUIT BY ARMAF,ARMAF,Sensula,Women,Winter &  Autumn,Evening / Night,"Bergamot, Grapefruit, Peach, and Orange","Geranium, Jasmine, Litchi, and Rose.","Musk, Patchouli, Vanilla, and Vetiver",2600,312,150,120,2,10,250,844,1344
,,88,ERBA PURA BY XERJOFF,XERJOFF,Sensula,Unisex,All Seasons,DAY & NIGHT,"Orange, Lemon, and Bergamot from Sicily",Mediterranean Fruits,"White Musk, Amber, and Madagascar Vanilla",2600,312,150,120,2,10,250,844,1344
,,89,EXPLORER ULTRA BLUE BY MONTBLANC , MONTBLANC ,Farhan,Men,Spring & Summer,Day Time,"Sicilian Bergamot, Exotic Fruits, and Pink Pepper",Marine Accord and Ambergris,"Indonesian Patchouli, Woody Notes, and Leather",2600,312,150,120,2,10,250,844,1344
,,90,INVICTUS VICTORY ABSOLU BY PACO RABANNE,PACCO RABANNE,Hussaini,Men,Winter & Autumn,Evening / Night,Black Pepper,"Amber, Ambergris, and Woodsy Notes","Sandalwood, Frankincense (Incense), and Patchouli",2600,312,150,120,2,10,250,844,1344
,,91,AL ROUNDER BY J.,J.,Hussaini,Men,All Seasons,DAY & NIGHT,"Apple, Lavender, Pepper, and Grapefruit","Cedarwood, Iris (Orris), Cardamom, and Violet Leaves","Patchouli, Amberwood, Musk, and Saffron",2600,312,150,120,2,10,250,844,1344
